id,name,area.name,employer.name,salary.from,salary.to,salary.currency,salary.gross
117114407,Frontend-разработчик,Ташкент,NDC-CO,6000000.0,10000000.0,UZS,True
117110836,Java-разработчик,Алматы,SIRIUS LTW,100000.0,200000.0,KZT,False
117114557,Backend-разработчик (Java Spring),Ташкент,NDC-CO,6000000.0,,UZS,False
117068398,Java-разработчик,Ташкент,LUDITO,45000000.0,75000000.0,UZS,False
117022964,Frontend-разработчик junior,Ташкент,COMING SOON STUDIO,5000000.0,8000000.0,UZS,True
117088891,Веб-разработчик React,Ташкент,LIFESTYLE CREATIVE,10000000.0,,UZS,False
117143190,Backend-разработчик,Ташкент,PITTSBURGH INTERNATIONAL,1000.0,2000.0,USD,True
117172257,Junior - разработчик,Москва,Media 108,70000.0,,RUR,False
117214335,React/JS-разработчик (middle),Москва,НТЦ Передовые Системы,220000.0,,RUR,True
117171896,HTML-верстальщик / Frontend-разработчик,Москва,ПЛАТИНУМ,90000.0,100000.0,RUR,True
117155532,Java-разработчик,Москва,AG Soft,,100000.0,RUR,False
117161244,Junior frontend разработчик,Санкт-Петербург,Новые Технологии,60000.0,,RUR,False
116996185,"Frontend-разработчик (React, Next.js)",Ташкент,Raskills,,34800000.0,UZS,False
117209047,Python Backend Разработчик,Тула,Lucky Site,80000.0,150000.0,RUR,False
117076915,Java-разработчик (Junior / Intern),Санкт-Петербург,Федаг,,60000.0,RUR,False
116861246,Web Developer,Ташкент,Next Decade Logistics (ТМ STL TRUCKERS LLC),500.0,1500.0,USD,True
117016759,Frontend-разработчик (Middle),Казань,Саймон Проперти Групп,160000.0,,RUR,False
117101413,Frontend-разработчик,Минск,ЦНИИТУ,4000.0,,BYR,False
117223910,Python-разработчик,Новосибирск,Казаринов Александр Николаевич,100000.0,,RUR,False
117122833,Frontend-разработчик (junior/junior+),Екатеринбург,АПРИКОД,50000.0,,RUR,False
117071187,Frontend-разработчик,Москва,Консалт Плюс,,340000.0,RUR,True
117112093,Frontend-разработчик (Middle),Москва,BiTronics Lab,160000.0,220000.0,RUR,True
117173531,Стажер-программист в ведущую IT-компанию,Алматы,IG Space,,200000.0,KZT,True
117232487,Python-разработчик,Москва,Choosy Recruitment,2000.0,,USD,False
117233016,Frontend-разработчик,Воронеж,Vera Realty,80000.0,80000.0,RUR,False
117113164,Frontend-разработчик,Алматы,Zymyran inc,500000.0,,KZT,True
117087816,Fronted developer,Ростов-на-Дону,Домиан,100000.0,,RUR,False
117107745,Младший разработчик C#,Москва,"АРМО, ГК",80000.0,120000.0,RUR,False
116902709,Junior python (django) разработчик,Санкт-Петербург,ЮТФ,60000.0,,RUR,False
117223663,Инженер-программист (WEB-разработчик),Минск,Государственное предприятие НЦОТ,4000.0,,BYR,False
116157271,Junior Python Developer,Бишкек,Mad Devs,1000.0,,USD,True
117233314,Java разработчик,Брянск,М-Сошал,100000.0,,RUR,False
117049191,Java разработчик,Москва,АБР Тех,,150000.0,RUR,True
117113691,Golang разработчик,Алматы,PARTNERS - SM,,4000.0,USD,False
116857899,Junior Java Developer,Москва,Дартс рекрутинг сервисез,120000.0,150000.0,RUR,False
117229031,Frontend-разработчик,Москва,Фрифлекс,80000.0,120000.0,RUR,False
114991753,C#/.NET-разработчик,Москва,Мэйджор Терминал,175000.0,,RUR,True
116583839,Программист Python (Junior),Владивосток,DNS Технологии,89000.0,,RUR,True
117015857,Backend-разработчик,Ташкент,BESH TECHNOLOGIES,5000000.0,15000000.0,UZS,False
115997564,Frontend-разработчик,Москва,AVS Consulting,50000.0,220000.0,RUR,False
117013229,Программист Python,Москва,Лаборатория моделирования систем,190000.0,,RUR,False
117087572,C#/.NET-разработчик,Минск,Up pashkevich,500.0,1000.0,USD,True
117131358,"Frontend Developer (JS, React)",Санкт-Петербург,ZennoLab,305000.0,,RUR,True
110412718,Junior Python Developer,Таганрог,JavaCode,75000.0,,RUR,False
116329110,VUE разработчик,Москва,В Кадре,170000.0,,RUR,True
116822696,Middle/Senior Frontend Developer,Ташкент,NOMADIAN,18000000.0,,UZS,True
117090426,Python Developer,Сербия,SL KG,,2000.0,USD,True
117160800,Frontend-разработчик,Москва,Чехов М. С.,50000.0,,RUR,False
117037373,JUNIOR+ PYTHON DEVELOPER,Москва,YG,80000.0,150000.0,RUR,True
117135052,Технолог химического производства / Химик-технолог / Химик-разработчик,Минск,Стилмарк,2500.0,,BYR,False
117090630,Frontend-разработчик (React),Нижний Новгород,КОДЕКС-ИТ,80000.0,150000.0,RUR,False
117205900,Golang-разработчик (удалённо),Москва,RecruitTech,230000.0,320000.0,RUR,False
117088395,Программист — разработчик (Junior),Уфа,Техноконтент,70000.0,,RUR,False
117208304,"C# Backend Developer (Япония, Токио)",Япония,"Fileforce, Inc.",3500.0,,USD,False
117213287,HTML Верстальщик / Frontend разработчик,Москва,STATURA,500.0,,USD,False
115797396,Junior Backend-разработчик/стажер (Python),Санкт-Петербург,Kinetica,125000.0,,RUR,False
116993821,Javascript developer (Junior/Middle+/Senior),Минск,Софтнетикс,600.0,3500.0,USD,False
117156442,Frontend-разработчик,Екатеринбург,SIAMS,60000.0,100000.0,RUR,False
117193609,Frontend-разработчик,Москва,Национальный исследовательский университет Высшая школа экономики,150000.0,,RUR,False
116344876,Middle backend-разработчик (Python),Москва,Модульбанк,140000.0,,RUR,True
117211822,Python-разработчик,Москва,Кадровое агентство HireWay,80000.0,,RUR,False
117153981,Разработчик,Санкт-Петербург,ФИНСТАР БАНК,300000.0,300000.0,RUR,True
117202094,Frontend-разработчик,Санкт-Петербург,АГРОИМПЭКС,150000.0,,RUR,False
117214557,Junior+ / Middle разработчик на React/TypeScript,Липецк,Веденеев Борис Сергеевич,64000.0,120000.0,RUR,False
117045285,Разработчик Python/Django,Санкт-Петербург,Решения Для Имейл Рассылок,140000.0,150000.0,RUR,False
117112588,Разработчик,Москва,АКД,25000.0,70000.0,RUR,False
116872204,"Frontend-разработчик (React, Typescript)",Ставрополь,Ставтрэк,100000.0,,RUR,True
117156838,Frontend developer (React),Санкт-Петербург,evilUnion,50000.0,150000.0,RUR,True
117035838,.NET / C# разработчик Junior,Санкт-Петербург,Когорта-М,50000.0,,RUR,False
117190396,Swift Ui разработчик,Москва,Broad Apps,,90000.0,RUR,False
117112930,Java-разработчик,Санкт-Петербург,Хоменко Галина Игоревна,150000.0,250000.0,RUR,False
117210459,Middle Python программист (Django),Москва,HR-Stalker,350000.0,400000.0,RUR,True
117166096,Frontend-разработчик,Москва,Чек-Ап Онлайн,170000.0,,RUR,False
117172861,Frontend-разработчик JavaScript/ JavaScript Developer (React),Санкт-Петербург,СЗ РЦАИ,110000.0,150000.0,RUR,False
117108895,Android разработчик,Тамбов,Смородина,,150000.0,RUR,True
117150601,Junior Python Backend Developer,Санкт-Петербург,Крайчик Георгий Ильич,60000.0,120000.0,RUR,True
116888793,Java-разработчик (Junior),Ростов-на-Дону,Озлокс,50000.0,,RUR,False
117080241,Frontend-разработчик (Junior),Тюмень,Федеральная сеть стоматологических клиник,50000.0,80000.0,RUR,False
117215388,Senior Frontend-разработчик,Москва,Геомирагро,,350000.0,RUR,False
117163315,Android developer,Москва,Триада,,170000.0,RUR,False
117092123,Специалист технической поддержки/web-разработчик,Астана,BenchMark Consulting,150000.0,200000.0,KZT,True
116792570,Junior Developer (стажер),Москва,NEXTLINE Лаборатория рекламы,100000.0,,RUR,False
117112094,Frontend-разработчик (Middle),Долгопрудный (Московская область),BiTronics Lab,160000.0,220000.0,RUR,True
117155922,Middle Front-End Developer,Тбилиси,UAB Selesa,2000.0,,USD,False
116454942,Бизнес-девелопер/Менеджер по развитию бизнеса,Москва,NETONE,130000.0,,RUR,False
116663126,React разработчик (junior),Москва,Купаев Игорь Владимирович,,45000.0,RUR,False
116902762,Python-разработчик,Смоленск,Makeunion,70000.0,90000.0,RUR,False
117104097,IOS разработчик,Тамбов,Смородина,,150000.0,RUR,True
115756308,Middle frontend-разработчик (React),Ростов-на-Дону,ФГАНУ НИИ Спецвузавтоматика,70000.0,140000.0,RUR,False
116825963,Разработчик WEB,Краснодар,Столото,,220000.0,RUR,True
117112095,Frontend-разработчик (Middle),Химки (Московская область),BiTronics Lab,160000.0,220000.0,RUR,True
117150840,Frontend-разработчик (React) в онлайн-школу,Москва,АНО ДПО Ведантика,,150000.0,RUR,False
117188372,Разработчик React + Effector,Москва,Outlines Technologies,,260000.0,RUR,True
106883136,"Frontend-разработчик в Only (Next.js, React)",Москва,Онли,140000.0,,RUR,False
116814674,Junior Python-разработчик,Москва,Sentium (ИП Пономаренко Никита Александрович),130000.0,140000.0,RUR,False
117110708,Frontend Developer (Vue.js),Санкт-Петербург,Лашкевич Наталья Васильевна,170000.0,,RUR,False
116446647,Junior frontend-разработчик,Москва,Метабиотик,150000.0,,RUR,False
117109610,Frontend-разработчик на React,Набережные Челны,РЕСТОПЛЕЙС,90000.0,150000.0,RUR,False
115796950,Junior Frontend-разработчик,Санкт-Петербург,Kinetica,125000.0,,RUR,False
117158078,Unity-разработчик,Москва,Fizika XR,120000.0,,RUR,True
117146789,"Developer Java / Программист Java (Spring Boot, VueJS)",Минск,БалинаСофт,1200.0,3000.0,BYR,True
115500604,Java-разработчик Middle,Москва,Фабрика Решений,180000.0,230000.0,RUR,False
117012097,Frontend-разработчик,Белгород,Kasha soft,30000.0,70000.0,RUR,False
117155531,Junior Web Developer (удаленно),Москва,Wapi OÜ,1200.0,,EUR,False
115797809,Junior Backend-разработчик/стажер (Java),Санкт-Петербург,Kinetica,150000.0,,RUR,False
117106763,Начинающий программист 1С,Курск,Автосв,100000.0,150000.0,RUR,True
116826109,Python-разработчик,Казань,Столото,,220000.0,RUR,True
116828390,Программист-разработчик,Ташкент,METAMED,7000000.0,8000000.0,UZS,False
116912922,Начинающий разработчик (Web/Desktop),Санкт-Петербург,SigmaLab,20000.0,20000.0,RUR,False
117061688,Стажер-программист Java,Москва,ББРК,70000.0,90000.0,RUR,False
117150720,Junior Java Backend Developer,Санкт-Петербург,Крайчик Георгий Ильич,60000.0,120000.0,RUR,True
117180454,Python backend developer,Москва,Ритейл-Процессинг,280000.0,300000.0,RUR,False
115915073,Frontend-разработчик/Верстальщик,Москва,Карьера +,200000.0,,RUR,False
117098595,WEB-разработчик,Москва,Кадровый Метод,120000.0,,RUR,False
117103524,Junior/middle Django developer,Санкт-Петербург,ДЛЕ ТЕХ,90000.0,200000.0,RUR,False
117233505,Frontend-разработчик VueJS,Москва,Территория 2.0,100000.0,130000.0,RUR,False
117045319,Frontend разработчик (Junior/Junior+),Москва,amoCRM,,100000.0,RUR,True
116763609,Junior Unity-разработчик (Unity Developer),Москва,GeeKid,33000.0,,RUR,False
116997089,Junior Java Developer,Новосибирск,Динамика,65000.0,110000.0,RUR,False
117211939,Middle Java-разработчик,Санкт-Петербург,УМНЫЙ ПОИСК,,230000.0,RUR,False
117213252,Программист С#,Санкт-Петербург,ЦНИИ РТК,50000.0,80000.0,RUR,False
116479133,Frontend developer (React),Москва,Secumarket,150000.0,200000.0,RUR,False
116737342,Frontend-разработчик,Москва,Major Ассистанс,180000.0,200000.0,RUR,False
117063532,Unity-разработчик,Москва,aPieGames (Маркин Тимофей Игоревич),90000.0,,RUR,False
116883021,Java-разработчик middle+/senior,Санкт-Петербург,Крокодил,180000.0,240000.0,RUR,False
116027251,Middle Frontend разработчик,Москва,RecruitTech,200000.0,250000.0,RUR,False
117015111,Golang разработчик,Казань,Саймон Проперти Групп,150000.0,,RUR,False
117112942,Frontend-разработчик,Москва,Revoluterra,,220000.0,RUR,False
116895946,Frontend developer,Москва,Делаем IT,120000.0,170000.0,RUR,False
117024328,Инженер-программист АСУ ТП,Актобе,АМЕ-Глобал,450000.0,600000.0,KZT,False
116574300,Разработчик Java,Москва,Удобный Софт,150000.0,,RUR,False
115724738,Программист-стажёр,Москва,Cetera,17000.0,17000.0,RUR,False
116137710,Junior Java разработчик,Москва,НТ Разработки,80000.0,,RUR,False
117110021,Senior Front-End Developer,Минск,КюДеИкс,2800.0,,USD,False
115758717,Senior Frontend-разработчик / Лид команды,Москва,АйТи Фаундейшн,350000.0,,RUR,False
117121323,Business Development Manager,Красноярск,iFCM,200000.0,,RUR,False
117132549,Разработчик Java / Java Developer (middle),Москва,АГ-Логистик,,250000.0,RUR,False
115776831,Программист,Бишкек,Асман Банк,90000.0,150000.0,KGS,True
